Temperatura	Wavelength	PDE_375 (RT)	DPDE_375 (RT)	PDE_375 (LN2)	DPDE_375 (LN2)	Ratio_375	DRatio_375
-50	340	26.00	2.50	20.69	1.36	0.80	0.05
-104	340	26.00	2.50	16.61	1.09	0.64	0.04
-181	340	26.00	2.50	12.90	0.85	0.50	0.03
-50	365	25.05	2.50	18.67	1.23	0.75	0.05
-104	365	25.05	2.50	15.59	1.02	0.62	0.04
-181	365	25.05	2.50	11.24	0.74	0.45	0.03
-50	385	29.35	2.50	26.69	1.76	0.91	0.06
-181	385	29.35	2.50	17.42	1.15	0.59	0.04
-50	470	34.80	2.50	36.32	2.40	1.04	0.07
-104	470	34.80	2.50	32.53	2.13	0.93	0.06
-181	470	34.80	2.50	32.27	2.12	0.93	0.06
-180	127	28.98	2.50	12.72	0.99	0.439	0.034
-180	270	19.10	2.50	8.13	0.56	0.426	0.029
-180	317	26.51	2.50	11.44	0.78	0.431	0.029
-180	340	26.00	2.50	10.93	0.75	0.420	0.029
-180	365	25.70	2.50	10.96	0.75	0.427	0.029
-180	385	29.35	2.50	12.48	0.85	0.425	0.029
-180	470	34.80	2.50	14.87	1.01	0.427	0.029
-180	570	28.40	2.50	13.13	0.90	0.462	0.032
D50181	340	26.00	2.50	16.21	1.02	0.62	0.04
D50181	365	25.05	2.50	15.07	0.98	0.60	0.04
D50181	385	29.35	2.50	19.16	1.15	0.65	0.04
D50181	470	34.80	2.50	30.92	1.36	0.89	0.04
