Mes	Dia	Temperatura	OV	V_op	Gain	DGain
Julio	7	-181	3	45	4.24E+06	1.76E+04
Julio	7	-181	4	46	5.99E+06	3.81E+04
Julio	7	-181	5	47	7.91E+06	7.89E+04
Julio	5	-159	3	45	3.21E+06	3.90E+04
Julio	5	-159	4	46	4.84E+06	3.89E+04
Julio	5	-159	5	47	6.54E+06	3.59E+04
Julio	6	-120	3	47.5	5.07E+06	2.75E+04
Julio	6	-120	4	48.5	6.81E+06	2.25E+04
Julio	6	-120	5	49.5	8.65E+06	4.53E+04
Julio	6	-104	3	48	4.78E+06	1.04E+05
Julio	6	-104	4	49	6.50E+06	3.00E+04
Julio	6	-104	5	50	8.25E+06	3.56E+04
Julio	7	-50	3	51	5.32E+06	8.09E+04
Julio	7	-50	4	52	6.89E+06	5.27E+04
Julio	7	-50	5	53	8.42E+06	6.06E+04
