Wavelength	Luz	PDE_375 (RT)	DPDE_375 (RT)	PDE_375 (LN2)	DPDE_375 (LN2)	Ratio_375	DRatio_375
270	1.00	19.10	2.50	8.66	0.21	0.45	0.011
317	1.00	26.45	2.50	11.40	0.28	0.43	0.011
340	1.00	26.00	2.50	13.11	0.32	0.50	0.012
365	1.00	25.7	2.50	11.97	0.28	0.47	0.011
385	1.00	29.35	2.50	17.76	0.42	0.61	0.01
470	1.00	34.80	2.50	30.85	0.34	0.89	0.01
570	1.00	28.4	2.50	21.96	0.25	0.77	0.01
270	2.00	19.10	2.50	9.23	0.21	0.48	0.011
317	2.00	26.45	2.50	12.15	0.11	0.46	0.004
340	2.00	26.00	2.50	14.03	0.14	0.54	0.005
365	2.00	25.7	2.50	12.34	0.13	0.48	0.005
385	2.00	29.35	2.50	18.10	0.16	0.62	0.006
470	2.00	34.80	2.50	31.59	0.27	0.91	0.008
570	2.00	28.4	2.50	22.31	0.20	0.79	0.007
